[ 2025-01-03 10:39:25,328 ] 15 root - INFO - Intiate the data ingestion
[ 2025-01-03 10:39:31,730 ] 63 root - INFO - performed train test split on the dataframe
[ 2025-01-03 10:39:31,730 ] 64 root - INFO - Exited split_data_as_train_test_split method of DataIngestion Class
[ 2025-01-03 10:39:31,731 ] 70 root - INFO - Exporting Train and test file path
[ 2025-01-03 10:39:31,774 ] 80 root - INFO - Exported train and test file path 
[ 2025-01-03 10:39:31,774 ] 18 root - INFO - data ingestion Completed
[ 2025-01-03 10:39:31,781 ] 23 root - INFO - Intiate the data Validation
[ 2025-01-03 10:39:31,871 ] 30 root - INFO - Required no of columns:2
[ 2025-01-03 10:39:31,871 ] 31 root - INFO - Data frame has columns:31
[ 2025-01-03 10:39:31,872 ] 30 root - INFO - Required no of columns:2
[ 2025-01-03 10:39:31,872 ] 31 root - INFO - Data frame has columns:31
[ 2025-01-03 10:39:31,996 ] 25 root - INFO - Data Validation Completed
[ 2025-01-03 10:39:31,996 ] 29 root - INFO - data Transformation started
[ 2025-01-03 10:39:31,996 ] 59 root - INFO - Enterd initiate_data_transformation method of DataTransformation class
[ 2025-01-03 10:39:31,996 ] 61 root - INFO - starting data transformation
[ 2025-01-03 10:39:32,012 ] 45 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-03 10:39:32,012 ] 50 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-03 10:39:32,034 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-03 10:39:32,034 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-03 10:39:32,040 ] 33 root - INFO - data Transformation completed
